Price,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,ICICI,PRU.NS,ICICI,PRU.NS,ICICI,PRU.NS,ICICI,PRU.NS,ICICI,PRU.NS,ICICI,PRU.NS
Date,,,,,,,,,,,,
