Price,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,HDFC,LIFE.NS,HDFC,LIFE.NS,HDFC,LIFE.NS,HDFC,LIFE.NS,HDFC,LIFE.NS,HDFC,LIFE.NS
Date,,,,,,,,,,,,
